base_index,base_tourney_name,base_slug,year,tourney_name,tourney_slug,tourney_url,results_url,archive_url
125,Moscow,moscow,1990.0,ATP Moscow 1990,moscow-1990,https://www.flashscore.com/tennis/atp-singles/moscow-1990/,https://www.flashscore.com/tennis/atp-singles/moscow-1990/results/,https://www.flashscore.com/tennis/atp-singles/moscow/archive/
127,Munich,munich,1990.0,ATP Munich 1990,munich-1990,https://www.flashscore.com/tennis/atp-singles/munich-1990/,https://www.flashscore.com/tennis/atp-singles/munich-1990/results/,https://www.flashscore.com/tennis/atp-singles/munich/archive/
130,New Haven 2,new-haven-2,1990.0,ATP New Haven 2 1990,new-haven-2-1990,https://www.flashscore.com/tennis/atp-singles/new-haven-2-1990/,https://www.flashscore.com/tennis/atp-singles/new-haven-2-1990/results/,https://www.flashscore.com/tennis/atp-singles/new-haven-2/archive/
132,Newport,newport,1990.0,ATP Newport 1990,newport-1990,https://www.flashscore.com/tennis/atp-singles/newport-1990/,https://www.flashscore.com/tennis/atp-singles/newport-1990/results/,https://www.flashscore.com/tennis/atp-singles/newport/archive/
134,Nice,nice,1990.0,ATP Nice 1990,nice-1990,https://www.flashscore.com/tennis/atp-singles/nice-1990/,https://www.flashscore.com/tennis/atp-singles/nice-1990/results/,https://www.flashscore.com/tennis/atp-singles/nice/archive/
139,Orlando,orlando,1990.0,ATP Orlando 1990,orlando-1990,https://www.flashscore.com/tennis/atp-singles/orlando-1990/,https://www.flashscore.com/tennis/atp-singles/orlando-1990/results/,https://www.flashscore.com/tennis/atp-singles/orlando/archive/
142,Palermo,palermo,1990.0,ATP Palermo 1990,palermo-1990,https://www.flashscore.com/tennis/atp-singles/palermo-1990/,https://www.flashscore.com/tennis/atp-singles/palermo-1990/results/,https://www.flashscore.com/tennis/atp-singles/palermo/archive/
143,Paris,paris,1990.0,ATP Paris 1990,paris-1990,https://www.flashscore.com/tennis/atp-singles/paris-1990/,https://www.flashscore.com/tennis/atp-singles/paris-1990/results/,https://www.flashscore.com/tennis/atp-singles/paris/archive/
145,Philadelphia,philadelphia,1990.0,ATP Philadelphia 1990,philadelphia-1990,https://www.flashscore.com/tennis/atp-singles/philadelphia-1990/,https://www.flashscore.com/tennis/atp-singles/philadelphia-1990/results/,https://www.flashscore.com/tennis/atp-singles/philadelphia/archive/
148,Prague,prague,1990.0,ATP Prague 1990,prague-1990,https://www.flashscore.com/tennis/atp-singles/prague-1990/,https://www.flashscore.com/tennis/atp-singles/prague-1990/results/,https://www.flashscore.com/tennis/atp-singles/prague/archive/
153,Rome,rome,1990.0,ATP Rome 1990,rome-1990,https://www.flashscore.com/tennis/atp-singles/rome-1990/,https://www.flashscore.com/tennis/atp-singles/rome-1990/results/,https://www.flashscore.com/tennis/atp-singles/rome/archive/
154,Rotterdam,rotterdam,1990.0,ATP Rotterdam 1990,rotterdam-1990,https://www.flashscore.com/tennis/atp-singles/rotterdam-1990/,https://www.flashscore.com/tennis/atp-singles/rotterdam-1990/results/,https://www.flashscore.com/tennis/atp-singles/rotterdam/archive/
156,San Jose,san-jose,1990.0,ATP San Francisco 1990,san-jose-1990,https://www.flashscore.com/tennis/atp-singles/san-jose-1990/,https://www.flashscore.com/tennis/atp-singles/san-jose-1990/results/,https://www.flashscore.com/tennis/atp-singles/san-jose/archive/
157,San Marino,san-marino,1990.0,ATP San Marino 1990,san-marino-1990,https://www.flashscore.com/tennis/atp-singles/san-marino-1990/,https://www.flashscore.com/tennis/atp-singles/san-marino-1990/results/,https://www.flashscore.com/tennis/atp-singles/san-marino/archive/
161,Sao Paulo 2,sao-paulo-2,1990.0,ATP Sao Paulo 2 1990,sao-paulo-2-1990,https://www.flashscore.com/tennis/atp-singles/sao-paulo-2-1990/,https://www.flashscore.com/tennis/atp-singles/sao-paulo-2-1990/results/,https://www.flashscore.com/tennis/atp-singles/sao-paulo-2/archive/
163,Schenectady,schenectady,1990.0,ATP Schenectady 1990,schenectady-1990,https://www.flashscore.com/tennis/atp-singles/schenectady-1990/,https://www.flashscore.com/tennis/atp-singles/schenectady-1990/results/,https://www.flashscore.com/tennis/atp-singles/schenectady/archive/
