Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
9,3,3,2,54%,58%,"74%
(29/39)","74%
(31/42)","64%
(21/33)","42%
(13/31)",2/3,4/6,"26%
(11/42)","26%
(10/39)","52%
(16/31)","27%
(9/33)",2/6,1/3,,,,,,,"69%
(50/72)","60%
(44/73)","40%
(29/73)","31%
(22/72)","54%
(79/145)","46%
(66/145)","91%
(10/11)","80%
(8/10)","20%
(2/10)","9%
(1/11)","57%
(12/21)","43%
(9/21)",struff-jan-lennard,galan-daniel-elahi,08.10.2021 20:40,indian-wells-2021,2-0,2,3,2-0 | 7-6(7-4) | 6-3,7-6,7-4,6-3,,,,,,,
10,1,2,3,61%,56%,"91%
(31/34)","68%
(25/37)","50%
(11/22)","48%
(14/29)",2/2,7/10,"32%
(12/37)","9%
(3/34)","41%
(12/29)","41%
(9/22)",3/10,0/2,,,,,,,"75%
(42/56)","59%
(39/66)","41%
(27/66)","25%
(14/56)","57%
(69/122)","43%
(53/122)","100%
(10/10)","70%
(7/10)","30%
(3/10)","0%
(0/10)","65%
(13/20)","35%
(7/20)",anderson-kevin,thompson-jordan,08.10.2021 20:15,indian-wells-2021,2-0,2,3,2-0 | 7-5 | 6-2,7-5,,6-2,,,,,,,
3,2,2,0,60%,81%,"60%
(15/25)","70%
(30/43)","41%
(7/17)","60%
(6/10)",2/6,1/2,"30%
(13/43)","40%
(10/25)","40%
(4/10)","47%
(8/17)",1/2,4/6,,,,,,,"52%
(22/42)","68%
(36/53)","32%
(17/53)","48%
(20/42)","41%
(39/95)","59%
(56/95)","50%
(4/8)","89%
(8/9)","11%
(1/9)","50%
(4/8)","29%
(5/17)","71%
(12/17)",rune-holger,escobedo-ernesto,08.10.2021 19:35,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 1-6,4-6,,1-6,,,,,,,
3,8,0,2,65%,64%,"57%
(23/40)","79%
(37/47)","45%
(10/22)","50%
(13/26)",3/6,8/9,"21%
(10/47)","43%
(17/40)","42%
(11/26)","55%
(12/22)",1/9,3/6,,,,,,,"53%
(33/62)","68%
(50/73)","32%
(23/73)","47%
(29/62)","41%
(56/135)","59%
(79/135)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",kudla-denis,tabilo-alejandro,08.10.2021 18:15,indian-wells-2021,0-2,2,3,0-2 | 1-6 | 6-7(0-7),1-6,,6-7,0-7,,,,,,
1,0,5,3,56%,62%,"65%
(32/49)","66%
(37/56)","46%
(18/39)","53%
(18/34)",3/8,4/9,"34%
(19/56)","35%
(17/49)","38%
(13/34)","41%
(16/39)",5/9,5/8,,,,,,,"57%
(50/88)","61%
(55/90)","39%
(35/90)","43%
(38/88)","48%
(85/178)","52%
(93/178)","67%
(10/15)","67%
(10/15)","33%
(5/15)","33%
(5/15)","50%
(15/30)","50%
(15/30)",delbonis-federico,nishioka-yoshihito,08.10.2021 18:10,indian-wells-2021,1-2,3,3,1-2 | 3-6 | 6-3 | 6-7(2-7),3-6,,6-3,,6-7,2-7,,,,
2,2,7,7,54%,61%,"54%
(25/46)","65%
(35/54)","44%
(17/39)","54%
(19/35)",4/11,9/11,"35%
(19/54)","46%
(21/46)","26%
(9/35)","38%
(15/39)",2/11,7/11,,,,,,,"49%
(42/85)","61%
(54/89)","39%
(35/89)","51%
(43/85)","44%
(77/174)","56%
(97/174)","46%
(6/13)","85%
(11/13)","15%
(2/13)","54%
(7/13)","31%
(8/26)","69%
(18/26)",koepfer-dominik,ruusuvuori-emil,08.10.2021 18:10,indian-wells-2021,1-2,3,3,1-2 | 7-6(7-3) | 2-6 | 0-6,7-6,7-3,2-6,,0-6,,,,,
3,6,2,5,67%,45%,"71%
(49/69)","78%
(38/49)","59%
(20/34)","44%
(27/61)",5/8,12/17,"22%
(11/49)","29%
(20/69)","48%
(29/61)","35%
(12/34)",5/17,3/8,,,,,,,"67%
(69/103)","59%
(65/110)","41%
(45/110)","33%
(34/103)","54%
(114/213)","46%
(99/213)","82%
(14/17)","69%
(11/16)","31%
(5/16)","18%
(3/17)","58%
(19/33)","42%
(14/33)",davidovich-fokina-alejandro,johnson-steve,08.10.2021 02:45,indian-wells-2021,2-1,3,3,2-1 | 6-7(5-7) | 6-3 | 7-5,6-7,5-7,6-3,,7-5,,,,,
11,2,5,1,55%,60%,"76%
(39/51)","69%
(40/58)","48%
(20/42)","50%
(19/38)",6/9,6/10,"31%
(18/58)","24%
(12/51)","47%
(18/38)","40%
(17/42)",4/10,3/9,,,,,,,"63%
(59/93)","61%
(59/96)","39%
(37/96)","37%
(34/93)","51%
(96/189)","49%
(93/189)","80%
(12/15)","73%
(11/15)","27%
(4/15)","20%
(3/15)","53%
(16/30)","47%
(14/30)",pospisil-vasek,wolf-jeffrey-john,08.10.2021 02:45,indian-wells-2021,2-1,3,3,2-1 | 6-4 | 4-6 | 6-4,6-4,,4-6,,6-4,,,,,
2,2,1,1,53%,60%,"75%
(18/24)","61%
(17/28)","67%
(14/21)","37%
(7/19)",4/5,1/6,"39%
(11/28)","25%
(6/24)","58%
(11/19)","29%
(6/21)",5/6,1/5,,,,,,,"71%
(32/45)","51%
(24/47)","49%
(23/47)","29%
(13/45)","60%
(55/92)","40%
(37/92)","88%
(7/8)","38%
(3/8)","63%
(5/8)","13%
(1/8)","75%
(12/16)","25%
(4/16)",caruso-salvatore,svajda-zachary,08.10.2021 01:10,indian-wells-2021,2-0,2,3,2-0 | 6-3 | 6-1,6-3,,6-1,,,,,,,
0,0,4,3,68%,75%,"56%
(29/52)","69%
(38/55)","46%
(11/24)","44%
(8/18)",8/13,2/5,"31%
(17/55)","44%
(23/52)","39%
(7/18)","38%
(9/24)",3/5,5/13,,,,,,,"53%
(40/76)","63%
(46/73)","37%
(27/73)","47%
(36/76)","45%
(67/149)","55%
(82/149)","58%
(7/12)","75%
(9/12)","25%
(3/12)","42%
(5/12)","42%
(10/24)","58%
(14/24)",olivo-renzo,carballes-baena-roberto,08.10.2021 01:10,indian-wells-2021,0-2,2,3,0-2 | 5-7 | 5-7,5-7,,5-7,,,,,,,
